Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9344262295081968,0.9374068554396423,0.9344262295081968,0.9336293260473588
XGBoost,0.9672131147540983,0.9679937548790009,0.9672131147540983,0.9669816284012711
SVM,0.9344262295081968,0.9384314456035767,0.9344262295081968,0.9312577490012398
KNN,0.7540983606557377,0.7588776401665038,0.7540983606557377,0.755503512880562
Logistic Regression,0.9180327868852459,0.9214441108166376,0.9180327868852459,0.9187106109936977
CNN,0.8524590163934426,0.8605492867787949,0.8524590163934426,0.8515681962509114
